"id","score","content","date","time","device","opt_times"
"2882","0.956","Trump: ""Tariffs will make our Country MUCH STRONGER, not weaker,"" ""Just sit back and watch!"" Trump didn't start a Trade War with China but he knows how to Win! Unite behind the President & together we will WIN!

 …pic.twitter.com/Qa3E0CkvjV","05-10",NULL,NULL,"0"
"2892","0.4601","Talks with China continue in a very congenial manner - there is absolutely no need to rush - as Tariffs are NOW being paid to the United States by China of 25% on 250 Billion Dollars worth of goods & products. These massive payments go directly to the Treasury of the U.S....","05-10",NULL,NULL,"0"
"2898","0.7501","Over the course of the past two days, the United States and China have held candid and constructive conversations on the status of the trade relationship between both countries. The relationship between President Xi and myself remains a very strong one, and conversations....","05-10",NULL,NULL,"0"
"2909","0.7184","Decided 2 Watch Drive-by-Media tonight & their just saying Chinese ‘Trade War’ B.S.Building a new & fair trade relationship w/China is way past due & I’m Thankful President @realDonaldTrump is standing Firm 4 #AmericaFirst I know it will get done FAIRLY b/c of @POTUS #MAGA","05-10",NULL,NULL,"0"
"2916","0.338","Trump loves a trade war, but has never had a good strategy for winning one. ","05-10",NULL,NULL,"0"
"2919","0.1779","Trump trade war logic: tax the Chinese products, prices go up for consumers, tariffs go into treasury, Congress bailouts for agriculture and autos likely 3x the amount collected in tariffs... brilliant strategy Trump.","05-10",NULL,NULL,"0"
"2922","0.4464","Trump Renews Trade War as China Talks End Without a Deal  … “The best deal ever, winning winning winning winning”","05-10",NULL,NULL,"0"
"2926","0.0516",".@Amtrak sighting: ""Make Farmers Great Again"" hat -- poignant slogan on the day that the trade war escalated.","05-10",NULL,NULL,"0"
"2931","0.807","Your all time favorite President got tired of waiting for China to help out and start buying from our FARMERS, the greatest anywhere in the World!","05-10",NULL,NULL,"0"
"2950","0.4019","President Trump should be applauded for taking long overdue action and standing up to China’s unfair trade practices and defending America’s intellectual property.…","05-10",NULL,NULL,"0"
"2956","0.4384","I'm so glad the president isn't freaking the hell out in front of the world over his 'trade war' backfiring. 14 rage tweets and it's not even lunch time. 

I'm pretty sure President Xi is laughing his ass off at Trumps toddler-like display of frustration at himself. pic.twitter.com/rKFAZvSWOe","05-10",NULL,NULL,"0"
"2960","0.5688","“We have been engaged in an unfair relationship with China for a long time. They have reneged on the commitments they made to the WTO, particularly around intellectual property.” Carly Fiorina @MariaBartiromo","05-10",NULL,NULL,"0"
"2966","0.0588","Mr. Trump can't spell ""strategy."" All he can do is theater and bluster. Now he's dragging us even further into a trade war with China and just like his business deals of the past, someone else is footing the bill. American farmers should not be collateral damage.","05-10",NULL,NULL,"0"
"2970","0.7579","The ""trade war"" is fundamentally about the CCP's ability to subsidize and control industry in China. If the CCP loses the ability to control industry (reform, competition, etc) they lose their reason for being as well as a beautiful opportunity to benefit from corruption.","05-10",NULL,NULL,"0"
"2976","0.9351","Great Consumer Price Index just out. Really good, very low inflation! We have a great chance to “really rock!” Good numbers all around.","05-10",NULL,NULL,"0"
"2977","0.7579","The ""trade war"" is fundamentally about the CCP's ability to subsidize and control industry in China. If the CCP loses the ability to control industry (reform, competition, etc) they lose their reason for being as well as a beautiful opportunity to benefit from corruption.","05-10",NULL,NULL,"0"
"2982","0.8527","Investors should expect a higher drawdown than 2.55% irrespective of any ""trade war."" The ""reasons"" change, but corrections are a feature of markets, not a bug (avg yr has 3 declines >5%). And it's a good thing they are b/c without risk there would be no reward. pic.twitter.com/mpDHtHuQ9b","05-10",NULL,NULL,"0"
"2990","0.4601","Talks with China continue in a very congenial manner - there is absolutely no need to rush - as Tariffs are NOW being paid to the United States by China of 25% on 250 Billion Dollars worth of goods & products. These massive payments go directly to the Treasury of the U.S....","05-10",NULL,NULL,"0"
"2993","0.3164","....agricultural products from our Great Farmers, in larger amounts than China ever did, and ship it to poor & starving countries in the form of humanitarian assistance. In the meantime we will continue to negotiate with China in the hopes that they do not again try to redo deal!","05-10",NULL,NULL,"0"
"3018","0.6705","Hilarious listening to David Buik and Nick Ferrari (well known brexiters) talking about the trade war between the US and China. Funny how neither mention whether this is a good time to go it alone. Is that because it isn't a good time? @truemagic68","05-10",NULL,NULL,"0"
"3027","0.6486","It's funny, a full-scale trade war with lots of tariffs was, like, a classic ""worst case scenario"" thing that might happen if Trump won. And, like, it is very much happening and while there are definitely real effects, it's hardly a life-altering cataclysm outside some pockets.","05-10",NULL,NULL,"0"
"3036","0.0772","Until Trump’s Trade War With China Is Over, It’s Probably Best You Don’t Look at Your 401(K)  …","05-10",NULL,NULL,"0"
"3037","0.2263","Unions are the best path to the middle class. Climate action is a winning issue in 2020. Housing is an underrated issue. The President is violating the Emoluments Clause. Primaries are good. Farms are collapsing because of the trade war. That’s it for now.","05-10",NULL,NULL,"0"
"3043","0.101","On Monday on @LouDobbs Tonight, former White House Chief Strategist Steve Bannon praised President @realDonaldTrump for increasing tariffs on China in the ongoing trade war, explaining why he thinks:

“Today was the most important day of Donald Trump’s presidency.” pic.twitter.com/FXzt7Yq4pP","05-10",NULL,NULL,"0"
"3048","0.267","im not expecting trade war dinner updates and tweets

but that is because i am expecting a big mac dinner with prostitutes 

announcement after market closes friday is my guess","05-10",NULL,NULL,"0"
"3070","0.2263","Congressman Brad Sherman wants to outlaw cryptocurrencies.

He has been in office for 22 straight years. More than…","05-10",NULL,NULL,"0"
