"id","score","content","date","time","device","opt_times"
"283","-0.344803268299471","反制美国，或许需要换个思维原创 风留痕 动态大参考 今天本文系动态大参考独家原创稿件，欢迎转载，须署名并注明来自动态大参考dongtaidacankao在美国继续加征关税之后，中国将如何反制何时反制成为了人们关注的焦点问题之一。特朗普之所以一再以加征关税相逼，主要的就是因为中美贸易上巨大的差额。他总认为自己的关税“子弹”比中国多，表面上看也确实如此。然而，我们早就说过，贸易战注定没有赢家，所以若要论胜负，比的不是实力和数字，更主要是承受力和意志力。因此，关税报复只是一种态度，并非反制的全部。只有当美国承受不住贸易战的压力的时候，只有当美国的意志力受到重创看不到贸易战胜利的希望的时候，才会停止以贸易战相威胁。1、如果只是单纯通过加征关税进行反制。一是数字上确实不占优。二是不能跟着美国的节奏应对。三是关税报复也是自伤的过程。要反制美国，或许需要换个思维和手段。俗语说得好，打蛇打七寸。也就是说，关税报复要稳准狠的击中美国的要害，而不必全面反制。大豆等农产品，能源，飞机和汽车，是美国的重点产业，更是特朗普看重的产业。中方的关税反制，主要针对这几项就行。2、特朗普急于重振美国制造，要实现“购美国货雇美国人”的目标，要体现美国优先。只要中国不大量购美国货，这一目标就难以实现。目前看来，美国人的胃口太大。不仅要变本加厉，而且还要得寸进尺。对全部5000多亿美元的商品加征关税几乎是无法避免。以特朗普的性格，中国不退让他是不会主动取消已经加征的关税的。而中国一旦进行反制，特朗普则更会恼羞成怒。既然美国已经无理加征关税，或者说短期之内很难取消已经加征的关税，而取消加征关税的条件又严重侵犯中国核心利益。这样一来，除了谈判之外，必须另想他法，不能按照美国的节奏解决问题。那么，现在的关键问题，就不是如何报复美国，而是最大限度的降低关税战的损失，同时还要保持自己的节奏不变。也就是以我为主。关税报复，是一个伤人又伤已的手段。加征关税，就意味着提高进口商品的价格。对美国是如此，对中国当然也是如此。3、反制美国加税还有一个重要的手段，那就是增加与其它国家的贸易。就需要加快开放的步伐和力度，促进已有政策尽快落地。加速推进一带一路建设，同样也是反制的重要手段。这样美国的相关企业就会担心失去已有的市场，或抢不上新的市场份额。本年前四个月，中美贸易额下降了11%，但中国对欧盟、东盟和一带一路贸易却增加了9%左右。这是市场转移，就是有可能替代的市场。而中美贸易下降的情况之下，顺差却扩大了10%以上，一是说明提高关税不是缩小贸易差的手段，二是说明中国产品的不可替代性很强。这也很大程度上表明，中国没有必有只利用关税反制。4、特朗普发起贸易战挑衅的目的是提振美国经济。这决定了特朗普不会打持久战。一旦形成持久战，对美国经济的损害会逐渐增大，他承受不了这个损失，美国选民也不会给他这个时间。近日，库德洛在《福克斯周日新闻》节目中承认，关税加征后，美国企业也要“买单”并且“很经常地”会把这部分成本转嫁给消费者承担。库德洛的回答说，“对，某种程度上是这样的，我没有否认这一点，双方……双方都会因此承受损失”。可见，美方也意识到加征关税是一种自损的手段，也预示着不是长久之计。由于库德洛是内阁要员，公开这么表态，说明特朗普政府急于达成协议。因为达成协议才有便宜可赚。5、别看特朗普在贸易问题上既强硬又无理。可是，换了特朗普，美国就不会打压中国了吗？奥巴马被视为软弱无能，但奥巴马的亚洲再平衡战略也给中国带来过不小的压力。奥巴马更是叫嚣“不允许中国制定规则”。其实，换谁当美国总统，打压中国战略都不会有大的变化，变化的只是手段和途径而已。关键是，特朗普的一系列内政外交，在美国掀起了巨大的风波，引发了美国社会的撕裂加剧，引发了西方联盟的分歧和矛盾加剧。可以说特朗普的长期执政或许对中国更有利。如果美国把全部中国输美商口加征关税，也就意味着手中的牌全部打完，接下来就只能比拚意志力和承受力了。虽然贸易战对中国是一种伤害，但贸易战同时也是促进中国深化改革开放的重要助力。中国现在做的是因势力导。而经过一年的贸易磨擦，中国一是已经做好了最坏的打算，也就是有了充分的心理准备；二是做了充分的政策准备和物质准备。反观美国，恐怕更多的人是在等待着特朗普的胜利。希望越大，失望也就越大。另外，目前的世界局势发展对中国更有利。因为中国的发展观、合作观和治理观，已经普遍为世界所认可和接受。世界更是认识到中国才是化解经济危机的最主要的动力，而美国是世界乱源。与中国合作热情高涨。中国在国际上的地位和影响力在不断的提高。中国的变化太快，世界变化也太快，这都超出了美国人的意料。美国人越强硬，就越表明其越是心虚没底。中美是否达成贸易协议根本用不着急。如果你赞同老风同志的观点，请点赞并转发支持","05月13日","21:46","微博 weibo.com","1"
"887","-0.232691792639995","美国贸易代表莱特希泽星期五表示，他已收到总统TLP的指示，对其余尚未加征关税的所有中国商品加征关税，星期一将公布细节。此后TLP发推特呼吁中国现在就采取行动向美方让步。关于中美下一步何时磋商，美财政部长姆努钦对媒体回应说“目前还没有这方面的安排。”美国极限施压的大棒高高举起，中方的态度是我们做好了应对各种情况的准备。“极限施压”与“应对各种情况”在博弈。美方是挑起贸易战的一方，自恃实力强大，相信它的关税大棒足以压垮中国。中方的回应则是太极哲学的示范版，坚守原则，不主动打也不惧战，用更大的承受力瓦解对方的攻击力，增加其他情况出现的可能性。美方攻势猛烈，但这种攻势在经济学上充满了非理性，对美国经济将导致常识性的自伤。美方显然寄希望于人类贸易史上从未有过的凶猛关税战可以一举摧毁中国的意志，以短时间内的损失换取中国接受不平等协议，铸就美国现政府的“辉煌大业”。美国的做法是赌博。美方不断发声，一个动作接一个动作，表现出的其实是他们急切希望这一切迅速生效的焦虑。中方不搞赌博，我们的分析越来越冷静，应对各种情况的准备越来越充分。能够避免关税战全面拉开，只是我们为之筹划的情况之一。关税战打到最高级别，美方对几乎所有中国产品加征关税，同样是我们严肃准备应对的情况之一。而且到了这个时候，我们在心理和策略上越来越朝着这一“最坏情况”进行准备。其实，美方把全部中国产品关税都加征25%，这一威胁越早付诸行动，意味着贸易战的格局越早走到第一个转折点。因为在此之前，是美国的全面进攻阶段，到了所有产品都加征关税之后，贸易战就将转入相持阶段。华盛顿幻想中方将“受不了”，这不仅是误判，甚至有点自欺欺人。什么叫受不了？可以肯定地说，如果不遭到严重挑衅，中国人任何级别的贸易战都不想承受。而一旦遭到战略性胁迫，为了国家的主权和尊严，为了维护中国人民长期发展的权利，则没有什么是中国受不了的。如果美方要用贸易战剥夺中国人一些最宝贵的权利，那么比关税战损失大得多的痛苦我们也都能够承受。请注意，中国的太极哲学最注重在任何关头的清醒和理性，这是反对冲动、关注持久和耐力的哲学。在回应美国贸易战的同时，中国一直在出台扩大开放的措施。也就是说，中国不仅在回击美方加征关税，而且边打边自我完善，致力于创造更优越的内外环境，这会确保中国的承受力不是越打越疲倦，而是越打越充裕。看到美方宣扬一年能多收1000亿美元关税，这些关税对美国经济多么多么好，甚至可以用这些钱由美国政府收购农民的产品，真是太可笑了。这明显是忽悠美国公众。在全球化不断淡化关税作用的时代，华盛顿却扬言要让美国变成一个靠收关税发财和用关税壁垒把制造业逼回来的国家，我们一眼能看破这样的决心是装出来的。中国的立场一直很明确，愿意达成协议，但绝不在原则问题上让步，坚决拒绝将核心利益挂牌出售。因为这就是我们的真实态度。美方的表现却在剧烈摇摆，忽而释放超出实际情况的乐观，忽而横横地挥舞关税大棒，这些都是怀抱不切实际期许时患得患失的必然表现。我们把自己的立场阐明清楚了，尽量推动局势朝好的方向发展。如果美方就是要玩过山车式的惊险游戏，被转晕的一定是他们自己。本文为环球时报社评，原标题为“时间将证明极限施压对中国没用”","05月13日","08:32","微博 weibo.com","1"
"1362","-0.0675501087133549","特朗普总统看来很焦虑啊，天天都发好几条中美贸易战的推文，来回来去就那几个意思。他宣扬大规模加征关税这一招对美国经济本身就好得很，而且可以用多收的一部分关税把美国原本出口到中国的农产品全都买下，送给世界上饥饿的国家。我真纳闷，美国的农民和特朗普的其他铁粉真就那么土老帽，会相信这么反常识的说法？那些关税的大部分都要转嫁到美国消费者的头上，等于是美国老百姓集体花钱买农产品送给饥饿国家。特朗普一直在削减美国对外援助，这会儿突然大方起来了。特朗普这是要骗美国人，还是吓唬中国人呢？他能不能把美国人骗住，我不知道。但他肯定吓唬不住作为一个伟大集体的中国人。会有少数中国人害怕。抱歉，只能让他们在时代的风雨中慢慢长胆子了，但是绝大多数中国人是不怕的。事情没有来，大家不愿意招事，平平静静地过日子，多好。但事情既然来了，中国人的各种历史记忆和民族性格中那些坚韧的元素都会被调动起来。1950年的时候，中国没有怕美国，难道2019年的时候，我们会怕它不成？中国还没有宣布反制美国的具体方案，老胡估摸着，国家在制定回击美方关税战的精准方案。美国现在搞的是扫射，无差别地瞎打，自伤率极高，这种做法很唬人，但长期坚持将很痛苦。它的目的就是一举压垮中国人的意志，如果压不垮，它将进退维谷。中国接下来搞的都是瞄准射击，因为我们准备好要打持久战，所以要尽量避免自伤。美国关税战的声势高，中国的反击注重狠、准、稳。在老胡接触的智库圈中，都认为中国可以打得牌很多，比如停购美国农产品、能源、飞机，大幅削减美国对华服务贸易等等。另外，很多人在探讨抛售美国国债的可能性，以及具体怎么操作的策略问题。打贸易战，对中国经济肯定造成一些困难和损失，中国政府对此直言不讳，就凭这一点，北京就比华盛顿更实事求是，也意味着中方做了比美方更认真的心理、物质和策略准备。而美国政府到现在还在搞欺骗，忽悠公众。这表明他们的决心是外强中干的，就是赌能够压服中国，一旦没有压服该怎么办？他们根本就没有认真想。面对美国发动的贸易战争，中国政府与人民的利益完全是一体的。中国的态度很明确，最好能够避免贸易战全面升级，但如果美方对我们战略胁迫，对不起，它要打多久，我们就陪它多久。老胡的直觉是，中美贸易和局的时机还没成熟，美方现在还太嚣张，我们跟他们无法讲理，我们有多大诚意向美国开放，目前都无法推行。中国对美以斗促和，斗的阶段，看来是必须经历的。我们不要夺美国的霸权，但必须斗出华盛顿对中国的战略尊重，斗出它对中国的客观认识。否则中国将无法继续发展。14亿中国人是全世界潜在的第一大市场，一边应对美国贸易战，让我们一边在形势的倒逼中把这个市场的潜力充分释放出来，这是局势最终出现战略转折的关键所在。","05月13日","15:32","iPhone 7 Plus","1"
"1420","-0.192509060379639","美国当地时间5月10日早上，刘he和美方代表进行了两小时的会谈，于11点钟离开美国贸易代表办公室，回到自己的住处，准备回国。中美两国都对谈判更为详细具体的内容没有披露，刘he说“谈的不错fairly well。” 姆努钦说“具有建设性”constructive。会谈期间，特朗普没有邀请刘he到椭圆形办公室面谈，也没有说准备何时与中国国家元首通电话，第十一次中美贸易谈判看来没有谈出新进展，只是达到了一个维持双方关系的目的没有谈崩。在磋商结束后，刘he接受了中国媒体采访，首次披露中方三大核心关切，表示中方将理性对待中美经贸摩擦。 自中美发生贸易纠纷并最终引发贸易战以来，中美两国已进行了十一轮经贸协商与谈判。在整个的十一轮谈判中，总的感觉是时好时坏，有几次到了似乎要马上签协定的地步，但有几次到了谈判似乎要破裂的程度。从节奏看，中美贸易谈判的艰巨性和艰难性可想而知。不过，从透明程度讲，两国的保密工作做的还是不错，连无缝不钻的美国媒体都“搞不出”谈判的具体内容。对老百姓而言，更是云山雾罩地摸不着头脑，究竟谈了些啥，老百姓只能傻傻地等结果。不过，这次谈判结束后，刘he在接受中国媒体采访时首次披露中方三大核心关切。这三大关切“一是取消全部加征关税。关税是双方贸易争端的起点，如果要达成协议，加征的关税必须全部取消。二是贸易采购数字要符合实际，双方在阿根廷已对贸易采购数字形成共识，不应随意改变。三是改善文本平衡性，任何国家都有自己的尊严，协议文本必须平衡，目前仍有一些关键问题需要讨论。”这样看来，中方的三大核心关切大体与美国的三大“蛮横”基本上对上了号。美国的三个蛮横美国中文网披露要求是1美方十分强调协议的执行机制，将坚持协议条文的具体细致，以便执行其中涉及到中方“文本平衡性”问题。2美方坚持全文公布协议内容，以便全社会进行监督执行其中包括中方谈到的“贸易采购数字共识”问题。3美方坚持保留关税，将关税作为协议的执行手段，在中方兑现各项承诺后逐步取消关税中方要求取消全部加征关税。如此看来，中美两国在这三个方面出现的分歧，也是够严重的。举一个例子两国的经济贸易是主权国家对主权国家的经贸往来关系，是平等的。美国强调协定的执行机制，等于把中国这个主权国家置于其监管之下，是居高临下的，不是平等的，中国是绝不会答应的。中国所说的“文本平衡性”是指贸易协定执行条款中的监督机制不平衡问题，你凭啥监督我而不让我监督你？你凭啥在中国设监督办公室而不让我在美国设监督机构？等等。这就是我们所讲的“红线”中国的经济主权不容侵犯。不过，既然没谈崩，双方都表示要继续谈，也是个挺好的事情。相信两国有智慧解决这些问题。","05月13日","23:26","微博 weibo.com","1"
"1622","-0.387480378671581","两市今日集体低开，开盘后多头发力指数稍稍回暖，随后两市低位维持震荡，农业、区块链板块表现活跃。午后指数震荡走弱，题材股、大盘股表现都比较低迷，市场赚钱效应差。今日涨停61家，跌停46家。板块方面，农业、自由贸易港、西安自贸区等板块涨幅居前，汽车、券商、猪肉等板块跌幅居前。截止收盘，沪指报2903点，跌1.21%；深成指报9103点，跌1.43%；创业板指报1503点，跌2.01%。在上周五加税利空落地，市场上演报复性集体超跌反弹后，正常来说，不论是时间还是空间，短期都应该还有延续反弹机会；结果今早各指数直接大幅低开，盘中没有回补分时缺口，再次呈现了抵抗式下跌，与上周五下半场的强势形成了鲜明的对比；究其原因，没有别的利空，就是贸易战的悲观升级预期，在今天盘中完全体现在了汇率上面，人民币迅速贬值到了6.90附近；汇率的进一步贬值，很显然一定程度破坏了周五“利空出尽”的格局，刚一个利空兑现，市场又开始担心下一个利空，当然谁也说不好后面争端会不会真正加剧，因此这个也算是不确定性，抑制了市场短期的表现，那么市场今天的直接萎靡下跌，到底是意味着下跌中继还是构筑双底呢？就汇率来说，如果短期贬值到6.90附近就能够稳住，不再奔着6.95甚至7附近贬值，那么其实市场大概率还是可以抵抗的，毕竟经过了前面的恐慌释放，现在空头的杀跌动能已经没那么充足了，这从今天的盘面上其实也可以看得出来，虽然汇率贬值压制，但市场一直在抵抗式下跌，而且进一步的加关税其实之前也早已有过预期，因此个人认为这次下跌考验构筑双底的概率肯定要大于下跌中继的概率。如果是构筑双底，那么最起码的要求就是上证50指数不能进一步破位，上周四的低点后面不管几天，必须要守住，虽然创业板近期的表现是要强于上证50指数的，但整个市场想要真正企稳，绝对少不了权重指数的稳住。再来看看板块个股，实际上个股情况相比于盘面的惨淡还是能够接受的，毕竟上周五是普涨反弹，今天就算正常走也是会分化的，最终日内涨停家数还不错，跌停和跌幅大的比较有限，说明市场情绪是可控的，但凡贸易局势能有一点转机，反弹随时可能直接续上。综合来说，现在技术上面临的干扰比较多，因此难以把握，上周五整体性的报复性超跌反弹已经来过，虽然正常来说还有反弹空间和时间，但就像今天汇率突然加剧贬值施压，也是没办法的事情，明天北上资金又要回归交易了，上周五它们被逼空，今天又跌了回来，那么明天关注汇率的同时，也要关注它们的动向，对于短期市场走势可能都会有较大的影响。","05月13日","16:25","微博 weibo.com","1"
"1822","-0.0286635019574637","[cp]特朗普总统看来很焦虑啊，天天都发好几条中美贸易战的推文，来回来去就那几个意思。他宣扬大规模加征关税这一招对美国经济本身就好得很，而且可以用多收的一部分关税把美国原本出口到中国的农产品全都买下，送给世界上饥饿的国家。我真纳闷，美国的农民和特朗普的其他铁粉真就那么土老帽，会相信这么反常识的说法？那些关税的大部分都要转嫁到美国消费者的头上，等于是美国老百姓集体花钱买农产品送给饥饿国家。特朗普一直在削减美国对外援助，这会儿突然大方起来了。特朗普这是要骗美国人，还是吓唬中国人呢？他能不能把美国人骗住，我不知道。但他肯定吓唬不住作为一个伟大集体的中国人。会有少数中国人害怕。抱歉，只能让他们在时代的风雨中慢慢长胆子了，但是绝大多数中国人是不怕的。事情没有来，大家不愿意招事，平平静静地过日子，多好。但事情既然来了，中国人的各种历史记忆和民族性格中那些坚韧的元素都会被调动起来。1950年的时候，中国没有怕美国，难道2019年的时候，我们会怕它不成？中国还没有宣布反制美国的具体方案，老胡估摸着，国家在制定回击美方关税战的精准方案。美国现在搞的是扫射，无差别地瞎打，自伤率极高，这种做法很唬人，但长期坚持将很痛苦。它的目的就是一举压垮中国人的意志，如果压不垮，它将进退维谷。中国接下来搞的都是瞄准射击，因为我们准备好要打持久战，所以要尽量避免自伤。美国关税战的声势高，中国的反击注重狠、准、稳。在老胡接触的智库圈中，都认为中国可以打得牌很多，比如停购美国农产品、能源、飞机，大幅削减美国对华服务贸易等等。另外，很多人在探讨抛售美国国债的可能性，以及具体怎么操作的策略问题。打贸易战，对中国经济肯定造成一些困难和损失，中国政府对此直言不讳，就凭这一点，北京就比华盛顿更实事求是，也意味着中方做了比美方更认真的心理、物质和策略准备。而美国政府到现在还在搞欺骗，忽悠公众。这表明他们的决心是外强中干的，就是赌能够压服中国，一旦没有压服该怎么办？他们根本就没有认真想。面对美国发动的贸易战争，中国政府与人民的利益完全是一体的。中国的态度很明确，最好能够避免贸易战全面升级，但如果美方对我们战略胁迫，对不起，它要打多久，我们就陪它多久。老胡的直觉是，中美贸易和局的时机还没成熟，美方现在还太嚣张，我们跟他们无法讲理，我们有多大诚意向美国开放，目前都无法推行。中国对美以斗促和，斗","05月13日","21:39","小鱼电台Android","1"
"2058","-0.806075040162474","分享自 针对美国近日宣布对2000亿美元中国输美商品加征的关税从10%升至25%的举动，日本媒体和专家普遍认为，贸易战没有赢家，美国升级中美经贸摩擦不仅使双方受损，还将殃及世界经济。日本媒体对美国对中国输美商品加征关税的举动反应强烈。《日本经济新闻》发表社论说，此举不仅打压中美经济发展，也将危及世界经济和全球市场。中美应该通过谈判互相靠近，避免互相加征关税的贸易战。此外，社论说，美方宣称将考虑对所有从中国进口的商品追加征收关税，不得不说这是无视经济和市场现实的粗暴言论，全球股市因此已变得敏感脆弱。社论指出，在持续宽松背景下，主要经济体股市正缓慢恢复，世界经济也总算维持了艰难的增长。但如果美国追加关税，世界经济就有可能面临危险。对此，有关政策当局和投资家们都重新警惕起来。针对美方加征关税举措，日本媒体普遍认为，随着中美经贸摩擦升级，全球经济和贸易的减速已经变得越来越明显。而全球经济受到打压的起点，正是始于美国挑起的关税大战。相关报道指出，2018年全球货物贸易增长显著放缓，其主要原因正是，美国政府依据所谓《1962年贸易扩展法》第232条款，对进口钢铁等商品加征关税并招致相关国家报复。日本佳能全球战略研究所研究主任濑口清之日前对记者表示，作为全球最大的两个经济体，中美两国任何一方对对方施以严厉的经济制裁，必然招致另一方报复，这不仅损害当事方，也会使世界经济陷入长期不景气。现在，美方宣布对中国输美商品加征关税，这对美国和世界都将造成伤害。日本财务省财务官浅川雅嗣近日谈及美国巨额贸易逆差时告诉媒体，不均衡问题如果仅从两国贸易收支来看未免过于狭隘，应该考虑从涵盖服务贸易的经常项目不均衡、经济结构等角度来讨论这个问题。如果经济结构没有改变，即使美国对中国输美商品征收高额关税，其市场也只能是由其他国家的进口商品取而代之。早在今年3月，日本内阁府发表《世界经济潮流》白皮书指出，全球金融危机以来，中国已成为具有高附加值的电气产品、零部件和机械设备等产品的主要出口国。如果美国对中国输美商品追加征收关税，导致中国输美高附加值零部件等商品出口下降，势必波及美国汽车和半导体行业的出口。此外，发达国家贸易、亚洲等新兴市场国家贸易也将受到广泛影响。新华社记者刘春燕","05月13日","16:05","分享按钮","1"
"2074","-0.865846060230076","针对美国近日宣布对2000亿美元中国输美商品加征的关税从10%升至25%的举动，日本媒体和专家普遍认为，贸易战没有赢家，美国升级中美经贸摩擦不仅使双方受损，还将殃及世界经济。 日本媒体对美国对中国输美商品加征关税的举动反应强烈。《日本经济新闻》发表社论说，此举不仅打压中美经济发展，也将危及世界经济和全球市场。中美应该通过谈判互相靠近，避免互相加征关税的贸易战。 此外，社论说，美方宣称将考虑对所有从中国进口的商品追加征收关税，不得不说这是无视经济和市场现实的粗暴言论，全球股市因此已变得敏感脆弱。社论指出，在持续宽松背景下，主要经济体股市正缓慢恢复，世界经济也总算维持了艰难的增长。但如果美国追加关税，世界经济就有可能面临危险。对此，有关政策当局和投资家们都重新警惕起来。 针对美方加征关税举措，日本媒体普遍认为，随着中美经贸摩擦升级，全球经济和贸易的减速已经变得越来越明显。而全球经济受到打压的起点，正是始于美国挑起的关税大战。相关报道指出，2018年全球货物贸易增长显著放缓，其主要原因正是，美国政府依据所谓《1962年贸易扩展法》第232条款，对进口钢铁等商品加征关税并招致相关国家报复。 日本佳能全球战略研究所研究主任濑口清之日前对记者表示，作为全球最大的两个经济体，中美两国任何一方对对方施以严厉的经济制裁，必然招致另一方报复，这不仅损害当事方，也会使世界经济陷入长期不景气。现在，美方宣布对中国输美商品加征关税，这对美国和世界都将造成伤害。 日本财务省财务官浅川雅嗣近日谈及美国巨额贸易逆差时告诉媒体，不均衡问题如果仅从两国贸易收支来看未免过于狭隘，应该考虑从涵盖服务贸易的经常项目不均衡、经济结构等角度来讨论这个问题。如果经济结构没有改变，即使美国对中国输美商品征收高额关税，其市场也只能是由其他国家的进口商品取而代之。 早在今年3月，日本内阁府发表《世界经济潮流》白皮书指出，全球金融危机以来，中国已成为具有高附加值的电气产品、零部件和机械设备等产品的主要出口国。如果美国对中国输美商品追加征收关税，导致中国输美高附加值零部件等商品出口下降，势必波及美国汽车和半导体行业的出口。此外，发达国家贸易、亚洲等新兴市场国家贸易也将受到广泛影响。新华社","05月13日","21:29","专业版微博","1"
"2840","-0.244957110658541","华盛顿时间10日0点01分北京时间10日12点01分，美方对2000亿美元中国输美商品加征的关税从10%上调至25%。作为回应，中方在北京时间10日12点03分发表声明，几乎同步宣布不得不采取必要反制措施。中美贸易战再度升级，这样的结果令人遗憾。究其原因，在于美方无视中方富有诚意的态度与行动，始终奉行“美国优先”，漫天要价、极限施压，这从根本上违背了相互尊重、平等互利的谈判原则，从而导致摩擦升级。谈判是双方的事情。中方已经用实际行动表现出最大诚意，尽了最大努力，但也需要美方相向而行。其实，中美经贸磋商谈了一年多，中方对美方的做派早有领教，美方也应该很清楚中方的原则和立场，那就是对贸易战，中方不愿打，但也不怕打，必要时不得不打;对双方经贸分歧和摩擦问题，中方愿意采取合作方式加以解决，但这种合作是有原则的，就是不得损害中国国家核心利益与人民根本利益。今天，人们必须看到，美方在多次宣称美中将达成历史性的协议之际，突然执意升级关税，公然违反了其在世贸组织的国际义务，是对多边贸易规则的公然挑战，将进一步损害中美双方与全球利益，遭到了包括美国民众在内的全球民众强烈反对。美国商会会长托马斯·多诺霍明确表示，不支持通过加征关税发动贸易战，因为缴纳关税的是美国家庭和美国企业，而不是外国人。一个代表美国150多家贸易协会的游说组织——“关税伤害美国腹地”也发表声明，指出上调关税会损害全美近100万个就业岗位，惩罚的是美国农民、企业和消费者。美国再次举起关税大棒，企图阻挡中国发展的步伐，但是不会得逞。人们看到，过去一年多来，中国应对得当，经济、社会和民众心理的抗压性都大大增强。现在各方面有利于中国的积极信号更多了，中国将会更加从容淡定地应对，更加有信心、有能力经受住风浪的考验。办好自己的事，以更大力度的改革、更高水平的开放来推动经济高质量发展，中国将给世界创造更多的发展机遇。","05月13日","12:06","360安全浏览器","1"
"2912","-0.46692612024585","北京时间5月10日中午12时01分，就在第十一轮中美经贸高级别磋商正在进行的过程中，美国正式宣布对中国价值2000亿美元商品的关税从原来的10%提升至25%，休战数月的中美贸易摩擦硝烟再起。中国商务部在两分钟后发表声明称，中方对此深表遗憾，将“不得不采取必要反制措施”。5月11日，美国贸易代表办公室USTR代表莱特希泽对外宣称，美国将在5月13号周一公布对额外3250亿美元中国出口商品加征关税的清单。虽然中美全面经济对话中方牵头人、国务院副总理刘鹤在接受媒体采访时指出“谈判并没有破裂，只是两国谈判之中发生的一些小曲折，双方同意，在北京再见面，继续推动磋商”。但随着双方关税加征的再次重启，短期内贸易摩擦再度升级已经既成事实。对于中美贸易战的前景展望后续中美之间仍将保持磋商谈判，但由于此前的波折，后续谈判可能会越来越艰巨，贸易摩擦仍有可能持续升级，要认识到贸易战的长期性，艰巨性，做好持久战的准备。同时对中美贸易战前景也不用过于悲观，中国大国崛起之路虽不可能一帆风顺，但也必将是不可逆转的大势。贸易谈判或将继续，但会越来越艰巨一是两次波折已经使谈判气氛明显恶化。前面虽然有十一轮谈判，但双方没有达到任何书面协议，且已经出现两次波折。一次是去年六月份之前，中美双方在前三轮谈判后达成一致，共同宣布暂不互征关税的声明后，美国却在6月15号单方面宣布对大约500亿美元的中国进口商品加征25%的关税，中方随后做出反制措施，导致双方谈判破裂。第二次是在双方第十一轮磋商仍在过程中，美方就公布了其对中国价值2000亿美元商品征收25%关税的消息，再次让双方的谈判陷入僵局。美方的两次反复，虽暂未导致贸易磋商破裂，但已经对双方的互信带来严重伤害，导致后续谈判达成协议的不确定性明显上升。二是后续谈判必然涉及双方的核心利益，互不相让就会让谈判陷入困境。欲读全文，请点击→","05月13日","16:39","微博 weibo.com","1"
